wn（波数）,n（反射率）,k（消光系数）,alpha(吸收系数)
594.8839976,3.470362712,0.000876961,6.555750388
595.2380952,3.470357839,0.000886979,6.634587081
595.5926147,3.470352671,0.000897033,6.713787123
595.9475566,3.470347203,0.000907114,6.793283764
596.3029219,3.470341426,0.000917213,6.873010094
596.6587112,3.470335335,0.00092732,6.952891544
597.0149254,3.470328922,0.000937424,7.032845869
597.3715651,3.470322181,0.000947514,7.112790624
597.7286312,3.470315107,0.000957578,7.192635656
598.0861244,3.470307695,0.000967604,7.272290597
598.4440455,3.470299939,0.000977579,7.351657342
598.8023952,3.470291834,0.00098749,7.430637552
599.1611744,3.470283377,0.000997322,7.509117592
599.5203837,3.470274566,0.001007061,7.58699109
599.880024,3.470265396,0.001016692,7.66414388
600.240096,3.470255866,0.001026199,7.740453978
600.6006006,3.470245974,0.001035567,7.815806656
600.9615385,3.470235721,0.001044779,7.890071804
601.3229104,3.470225107,0.001053818,7.963119002
601.6847172,3.470214133,0.001062668,8.034825075
602.0469597,3.470202801,0.001071311,8.105051421
602.4096386,3.470191115,0.001079729,8.173659105
602.7727547,3.470179079,0.001087905,8.240516428
603.1363088,3.470166697,0.001095821,8.3054838
603.5003018,3.470153978,0.001103459,8.368421288
603.8647343,3.470140927,0.001110802,8.429196213
604.2296073,3.470127553,0.001117831,8.487660389
604.5949214,3.470113867,0.00112453,8.543688063
604.9606776,3.470099879,0.001130881,8.597137975
605.3268765,3.470085601,0.001136868,8.647883734
605.6935191,3.470071046,0.001142474,8.695791035
606.0606061,3.470056228,0.001147684,8.740740477
606.4281383,3.470041163,0.001152483,8.782612369
606.7961165,3.470025867,0.001156856,8.821286731
607.1645416,3.470010358,0.00116079,8.85665855
607.5334143,3.469994653,0.001164273,8.888630194
607.9027356,3.469978772,0.001167293,8.917103791
608.2725061,3.469962734,0.001169839,8.941988877
608.6427267,3.469946562,0.001171902,8.963210064
609.0133983,3.469930275,0.001173475,8.980707086
609.3845216,3.469913897,0.00117455,8.994411873
609.7560976,3.469897449,0.001175122,9.004279175
610.1281269,3.469880955,0.001175186,9.010263633
610.5006105,3.469864438,0.00117474,9.012342792
610.8735492,3.46984792,0.001173783,9.010501819
611.2469438,3.469831427,0.001172314,9.004725844
611.6207951,3.46981498,0.001170335,8.995023018
611.995104,3.469798604,0.001167849,8.981409203
612.3698714,3.469782321,0.00116486,8.963907996
612.745098,3.469766154,0.001161374,8.942558451
613.1207848,3.469750126,0.001157398,8.917407422
613.4969325,3.469734258,0.001152941,8.888517297
613.8735421,3.46971857,0.001148011,8.855942904
614.2506143,3.469703085,0.00114262,8.819770079
614.62815,3.46968782,0.001136779,8.780077149
615.0061501,3.469672795,0.001130502,8.736965817
615.3846154,3.469658026,0.001123802,8.690530301
615.7635468,3.469643532,0.001116695,8.640888268
616.1429452,3.469629327,0.001109195,8.588142189
616.5228113,3.469615427,0.00110132,8.532425776
616.9031462,3.469601843,0.001093085,8.473849816
617.2839506,3.469588589,0.00108451,8.412564154
617.6652254,3.469575675,0.00107561,8.348680195
618.0469716,3.469563112,0.001066406,8.282356221
618.4291899,3.469550907,0.001056914,8.213712048
618.8118812,3.469539069,0.001047155,8.142906669
619.1950464,3.469527603,0.001037146,8.070068347
619.5786865,3.469516516,0.001026906,7.995341234
619.9628022,3.46950581,0.001016454,7.91886984
620.3473945,3.469495489,0.001005809,7.840799034
620.7324643,3.469485555,0.000994988,7.761258444
621.1180124,3.469476008,0.00098401,7.68039363
621.5040398,3.469466849,0.000972892,7.598334893
621.8905473,3.469458077,0.000961653,7.515228489
622.2775358,3.46944969,0.000950307,7.431181939
622.6650062,3.469441685,0.000938872,7.34633433
623.0529595,3.469434059,0.000927364,7.260809438
623.4413965,3.469426808,0.000915798,7.174723512
623.8303182,3.469419927,0.000904189,7.08819309
624.2197253,3.469413412,0.00089255,7.001319316
624.609619,3.469407255,0.000880896,6.91421928
625,3.469401451,0.000869239,6.826986808
625.3908693,3.469395994,0.000857591,6.739715957
625.7822278,3.469390875,0.000845964,6.65250102
626.1740764,3.469386089,0.00083437,6.565436529
626.566416,3.469381626,0.000822818,6.478593628
626.9592476,3.469377479,0.000811318,6.392051521
627.3525721,3.469373639,0.000799879,6.305881725
627.7463905,3.4693701,0.000788511,6.220163826
628.1407035,3.469366851,0.00077722,6.134946037
628.5355123,3.469363885,0.000766015,6.050300387
628.9308176,3.469361193,0.000754901,5.966267471
629.3266205,3.469358766,0.000743886,5.882911714
629.7229219,3.469356596,0.000732976,5.800281875
630.1197227,3.469354674,0.000722174,5.71840308
630.517024,3.469352991,0.000711487,5.637332214
630.9148265,3.46935154,0.000700918,5.557094592
631.3131313,3.469350311,0.000690471,5.477723523
631.7119394,3.469349297,0.00068015,5.399252404
632.1112516,3.469348489,0.000669958,5.321706771
632.5110689,3.46934788,0.000659897,5.245104278
632.9113924,3.469347461,0.00064997,5.169470575
633.3122229,3.469347225,0.000640179,5.09482342
633.7135615,3.469347165,0.000630525,5.021172652
634.115409,3.469347272,0.000621009,4.948528134
634.5177665,3.46934754,0.000611634,4.876915703
634.9206349,3.469347962,0.000602398,4.806321368
635.3240152,3.469348531,0.000593304,4.736771021
635.7279085,3.46934924,0.000584351,4.668258662
636.1323155,3.469350083,0.000575539,4.600786274
636.5372374,3.469351054,0.000566869,4.534363842
636.9426752,3.469352146,0.000558339,4.468977363
637.3486297,3.469353355,0.00054995,4.404636827
637.755102,3.469354673,0.000541701,4.341336222
638.1620932,3.469356097,0.00053359,4.279061499
638.5696041,3.46935762,0.000525619,4.217830672
638.9776358,3.469359237,0.000517784,4.157613626
639.3861893,3.469360944,0.000510085,4.098412303
639.7952655,3.469362735,0.000502521,4.040220613
640.2048656,3.469364607,0.00049509,3.983024407
640.6149904,3.469366555,0.000487792,3.926825596
641.025641,3.469368574,0.000480624,3.871601933
641.4368185,3.469370661,0.000473585,3.817347233
641.8485237,3.469372812,0.000466674,3.764055297
642.2607579,3.469375023,0.000459889,3.711711839
642.6735219,3.469377291,0.000453228,3.660302534
643.0868167,3.469379611,0.000446689,3.609813022
643.5006435,3.469381981,0.000440271,3.560236992
643.9150032,3.469384398,0.000433972,3.511560027
644.3298969,3.469386859,0.00042779,3.463767669
644.7453256,3.46938936,0.000421724,3.416853528
645.1612903,3.469391899,0.000415771,3.370794981
645.5777921,3.469394474,0.00040993,3.325585574
645.994832,3.469397082,0.000404198,3.281202598
646.4124111,3.46939972,0.000398575,3.237647655
646.8305304,3.469402386,0.000393058,3.194897969
647.2491909,3.469405079,0.000387646,3.152946968
647.6683938,3.469407795,0.000382336,3.111771788
648.08814,3.469410534,0.000377127,3.071365793
648.5084306,3.469413292,0.000372018,3.031722331
648.9292667,3.469416069,0.000367005,2.992810267
649.3506494,3.469418862,0.000362088,2.954631026
649.7725796,3.46942167,0.000357265,2.917169706
650.1950585,3.469424492,0.000352534,2.880411366
650.6180872,3.469427326,0.000347893,2.844341027
651.0416667,3.46943017,0.000343341,2.80895185
651.465798,3.469433023,0.000338876,2.774228795
651.8904824,3.469435884,0.000334497,2.740164971
652.3157208,3.469438752,0.000330201,2.706737078
652.7415144,3.469441626,0.000325988,2.67394636
653.1678641,3.469444504,0.000321855,2.641769442
653.5947712,3.469447386,0.000317802,2.610207529
654.0222368,3.46945027,0.000313826,2.579237169
654.4502618,3.469453156,0.000309926,2.548851301
654.8788474,3.469456042,0.000306101,2.519042844
655.3079948,3.469458929,0.000302349,2.489796463
655.7377049,3.469461814,0.000298669,2.461105024
656.167979,3.469464699,0.00029506,2.432961373
656.5988181,3.469467581,0.00029152,2.405350087
657.0302234,3.46947046,0.000288047,2.378255703
657.4621959,3.469473336,0.000284641,2.351679239
657.8947368,3.469476207,0.000281301,2.325613452
658.3278473,3.469479074,0.000278024,2.300034531
658.7615283,3.469481936,0.00027481,2.274943439
659.1957811,3.469484793,0.000271658,2.250332855
659.6306069,3.469487644,0.000268567,2.226195443
660.0660066,3.469490488,0.000265534,2.202507255
660.5019815,3.469493325,0.00026256,2.179277482
660.9385327,3.469496156,0.000259643,2.15649042
661.3756614,3.469498979,0.000256782,2.134138638
661.8133686,3.469501794,0.000253976,2.112214684
662.2516556,3.469504601,0.000251223,2.090702762
662.6905235,3.4695074,0.000248524,2.06961202
663.1299735,3.469510191,0.000245877,2.048926629
663.5700066,3.469512973,0.000243281,2.028639058
664.0106242,3.469515745,0.000240735,2.008741754
664.4518272,3.469518509,0.000238238,1.989227147
664.893617,3.469521264,0.00023579,1.970095999
665.3359947,3.469524009,0.000233389,1.951332354
665.7789614,3.469526744,0.000231035,1.932936946
666.2225183,3.46952947,0.000228726,1.914893767
666.6666667,3.469532186,0.000226463,1.8972119
667.1114076,3.469534892,0.000224244,1.8798753
667.5567423,3.469537588,0.000222068,1.86287627
668.002672,3.469540275,0.000219935,1.846215488
668.4491979,3.469542951,0.000217844,1.829885231
668.8963211,3.469545617,0.000215795,1.813886163
669.3440428,3.469548273,0.000213786,1.798202126
669.7923644,3.469550919,0.000211817,1.782833754
670.2412869,3.469553555,0.000209888,1.76778168
670.6908115,3.46955618,0.000207997,1.753029685
671.1409396,3.469558796,0.000206145,1.738586808
671.5916723,3.469561401,0.00020433,1.724436791
672.0430108,3.469563996,0.000202552,1.710580226
672.4949563,3.469566581,0.00020081,1.697009253
672.9475101,3.469569156,0.000199105,1.683732906
673.4006734,3.469571721,0.000197435,1.670734856
673.8544474,3.469574277,0.000195799,1.658007197
674.3088334,3.469576822,0.000194198,1.645558949
674.7638327,3.469579357,0.000192631,1.633382199
675.2194463,3.469581883,0.000191098,1.621477498
675.6756757,3.469584399,0.000189597,1.609828414
676.132522,3.469586905,0.000188129,1.598443963
676.5899865,3.469589402,0.000186693,1.58731618
677.0480704,3.46959189,0.000185289,1.576445586
677.5067751,3.469594368,0.000183917,1.565832704
677.9661017,3.469596837,0.000182575,1.555461019
678.4260516,3.469599296,0.000181265,1.545348072
678.8866259,3.469601747,0.000179984,1.535468797
679.3478261,3.469604189,0.000178734,1.525840744
679.8096533,3.469606621,0.000177513,1.51644734
680.2721088,3.469609045,0.000176322,1.507297613
680.735194,3.469611461,0.00017516,1.498383505
681.1989101,3.469613868,0.000174027,1.489705499
681.6632584,3.469616267,0.000172922,1.48125551
682.1282401,3.469618657,0.000171846,1.473042578
682.5938567,3.469621039,0.000170798,1.46505861
683.0601093,3.469623413,0.000169778,1.457304075
683.5269993,3.469625779,0.000168786,1.449779444
683.994528,3.469628138,0.000167822,1.442485189
684.4626968,3.469630489,0.000166884,1.43540458
684.9315068,3.469632832,0.000165975,1.428563877
685.4009596,3.469635168,0.000165092,1.421937735
685.8710562,3.469637496,0.000164236,1.415535215
686.3417982,3.469639817,0.000163408,1.409365401
686.8131868,3.469642132,0.000162606,1.403411511
687.2852234,3.469644439,0.000161831,1.397682628
687.7579092,3.46964674,0.000161082,1.392170572
688.2312457,3.469649034,0.000160361,1.38689309
688.7052342,3.469651321,0.000159665,1.381824701
689.1798759,3.469653602,0.000158997,1.37699182
689.6551724,3.469655877,0.000158355,1.372377601
690.1311249,3.469658145,0.000157739,1.367982497
690.6077348,3.469660407,0.00015715,1.363815639
691.0850035,3.469662664,0.000156588,1.359877502
691.5629322,3.469664914,0.000156053,1.35616856
692.0415225,3.469667159,0.000155544,1.352680592
692.5207756,3.469669398,0.000155062,1.34942276
693.000693,3.469671632,0.000154607,1.346395542
693.481276,3.46967386,0.000154179,1.343599418
693.962526,3.469676082,0.000153778,1.341034869
694.4444444,3.4696783,0.000153405,1.338711104
694.9270327,3.469680512,0.000153059,1.336619893
695.4102921,3.469682719,0.000152741,1.334770459
695.8942241,3.469684921,0.000152451,1.333163307
696.3788301,3.469687118,0.000152189,1.331798944
696.8641115,3.46968931,0.000151955,1.330677877
697.3500697,3.469691497,0.000151751,1.329818141
697.8367062,3.469693679,0.000151575,1.329202744
698.3240223,3.469695856,0.000151428,1.328840975
698.8120196,3.469698028,0.000151311,1.328742146
699.3006993,3.469700195,0.000151225,1.328915597
699.790063,3.469702358,0.000151168,1.329344311
700.280112,3.469704516,0.000151142,1.330046425
700.7708479,3.469706668,0.000151148,1.331031319
701.2622721,3.469708816,0.000151185,1.332290777
701.754386,3.469710958,0.000151254,1.333834195
702.247191,3.469713096,0.000151356,1.335670996
702.7406887,3.469715228,0.000151491,1.337801797
703.2348805,3.469717354,0.00015166,1.340236058
703.7297678,3.469719475,0.000151862,1.342965574
704.2253521,3.46972159,0.0001521,1.346017519
704.721635,3.469723699,0.000152373,1.349383718
705.2186178,3.469725802,0.000152683,1.35308256
