vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型2_001,0.166706,0.0841,0.143577,"{'G3': 39, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 32}","{'G3': 39, 'G2': 32}",841.0,6860000,True,g3_ratio=0.72;order=G4-G5-G1-G2;wf=0.61;wr=0.13;wv=0.25;row=2;relax=0
车型2_012,0.198298,0.085,0.166575,"{'G3': 0, 'G4': 34, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 34},850.0,8160000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_013,0.198298,0.085,0.166575,"{'G3': 0, 'G4': 34, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 34},850.0,8160000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_014,0.189823,0.0824,0.159744,"{'G3': 0, 'G4': 32, 'G5': 0, 'G1': 0, 'G2': 3}","{'G4': 32, 'G2': 3}",824.0,7811250,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_015,0.198298,0.085,0.166575,"{'G3': 0, 'G4': 34, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 34},850.0,8160000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_016,0.198298,0.085,0.166575,"{'G3': 0, 'G4': 34, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 34},850.0,8160000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_017,0.198298,0.085,0.166575,"{'G3': 0, 'G4': 34, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 34},850.0,8160000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_018,0.198298,0.085,0.166575,"{'G3': 0, 'G4': 34, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 34},850.0,8160000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_019,0.198298,0.085,0.166575,"{'G3': 0, 'G4': 34, 'G5': 0, 'G1': 0, 'G2': 0}",{'G4': 34},850.0,8160000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_020,0.200339,0.1292,0.18042,"{'G3': 3, 'G4': 11, 'G5': 54, 'G1': 0, 'G2': 0}","{'G4': 11, 'G3': 3, 'G5': 54}",1292.0,8244000,True,g3_ratio=0.94;order=G2-G1-G4-G5;wf=0.79;wr=0.00;wv=0.21;row=2;relax=0
车型2_021,0.272951,0.2106,0.255493,"{'G3': 0, 'G4': 0, 'G5': 117, 'G1': 0, 'G2': 0}",{'G5': 117},2106.0,11232000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_022,0.272951,0.2106,0.255493,"{'G3': 0, 'G4': 0, 'G5': 117, 'G1': 0, 'G2': 0}",{'G5': 117},2106.0,11232000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_023,0.272951,0.2106,0.255493,"{'G3': 0, 'G4': 0, 'G5': 117, 'G1': 0, 'G2': 0}",{'G5': 117},2106.0,11232000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_024,0.253705,0.1926,0.236595,"{'G3': 0, 'G4': 0, 'G5': 93, 'G1': 21, 'G2': 0}","{'G5': 93, 'G1': 21}",1926.0,10440000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_025,0.210546,0.1446,0.192081,"{'G3': 0, 'G4': 0, 'G5': 1, 'G1': 119, 'G2': 0}","{'G1': 119, 'G5': 1}",1446.0,8664000,True,g3_ratio=0.39;order=G4-G2-G1-G5;wf=0.37;wr=0.33;wv=0.30;row=0;relax=0
车型2_026,0.209963,0.144,0.191493,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 120, 'G2': 0}",{'G1': 120},1440.0,8640000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_027,0.209963,0.144,0.191493,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 120, 'G2': 0}",{'G1': 120},1440.0,8640000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_028,0.210546,0.1446,0.192081,"{'G3': 0, 'G4': 0, 'G5': 1, 'G1': 119, 'G2': 0}","{'G1': 119, 'G5': 1}",1446.0,8664000,True,g3_ratio=0.39;order=G4-G2-G1-G5;wf=0.37;wr=0.33;wv=0.30;row=0;relax=0
车型2_029,0.209963,0.144,0.191493,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 120, 'G2': 0}",{'G1': 120},1440.0,8640000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_030,0.209963,0.144,0.191493,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 120, 'G2': 0}",{'G1': 120},1440.0,8640000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_031,0.124118,0.0864,0.113557,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 60, 'G2': 18}","{'G1': 60, 'G2': 18}",864.0,5107500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_032,0.127581,0.096,0.118739,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 120}",{'G2': 120},960.0,5250000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_033,0.127581,0.096,0.118739,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 120}",{'G2': 120},960.0,5250000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_034,0.136056,0.0986,0.125569,"{'G3': 0, 'G4': 2, 'G5': 0, 'G1': 0, 'G2': 117}","{'G2': 117, 'G4': 2}",986.0,5598750,True,g3_ratio=0.30;order=G4-G2-G5-G1;wf=0.39;wr=0.47;wv=0.13;row=2;relax=0
车型2_035,0.127581,0.096,0.118739,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 120}",{'G2': 120},960.0,5250000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_036,0.128268,0.0964,0.119345,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 1, 'G2': 119}","{'G1': 1, 'G2': 119}",964.0,5278250,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_037,0.127581,0.096,0.118739,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 120}",{'G2': 120},960.0,5250000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型2_038,0.127581,0.096,0.118739,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 120}",{'G2': 120},960.0,5250000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
