template_name,support_type,support_orientation_id,g3_orientation_id,pattern_nx,pattern_ny,layers,support_count,g3_count,length,width,height,weight,support_length,support_width,support_height,g3_length,g3_width,g3_height,volume_bbox,score,source_kind
MPX_G2_1x2_L1_S1_G32_K1_UP8,G2,1,2,1,2,8,16,1,50,70,240,143,50,35,25,50,70,40,840000,0.919496,lifted
MPX_G2_2x1_L1_S3_G31_K1_UP8,G2,3,1,2,1,8,16,1,70,50,240,143,35,50,25,70,50,40,840000,0.919496,lifted
MPX_G2_2x3_L1_S1_G31_K2_UP8,G2,1,1,2,3,8,48,2,100,105,240,414,50,35,25,70,50,40,2520000,0.895702,lifted
MPX_G2_2x3_L1_S1_G32_K2_UP8,G2,1,2,2,3,8,48,2,100,105,240,414,50,35,25,50,70,40,2520000,0.895702,lifted
MPX_G2_3x2_L1_S1_G31_K2_UP8,G2,1,1,3,2,8,48,2,150,70,240,414,50,35,25,70,50,40,2520000,0.895702,lifted
MPX_G2_3x2_L1_S1_G32_K2_UP8,G2,1,2,3,2,8,48,2,150,70,240,414,50,35,25,50,70,40,2520000,0.895702,lifted
MPX_G2_2x3_L1_S3_G31_K2_UP8,G2,3,1,2,3,8,48,2,70,150,240,414,35,50,25,70,50,40,2520000,0.895702,lifted
MPX_G2_2x3_L1_S3_G32_K2_UP8,G2,3,2,2,3,8,48,2,70,150,240,414,35,50,25,50,70,40,2520000,0.895702,lifted
MPX_G2_3x2_L1_S3_G31_K2_UP8,G2,3,1,3,2,8,48,2,105,100,240,414,35,50,25,70,50,40,2520000,0.895702,lifted
MPX_G2_3x2_L1_S3_G32_K2_UP8,G2,3,2,3,2,8,48,2,105,100,240,414,35,50,25,50,70,40,2520000,0.895702,lifted
MPX_G1_2x2_L1_S1_G32_K2_UP6,G1,1,2,2,2,6,24,2,120,80,220,318,60,40,30,50,70,40,2112000,0.895254,lifted
MPX_G1_2x2_L1_S3_G31_K2_UP6,G1,3,1,2,2,6,24,2,80,120,220,318,40,60,30,70,50,40,2112000,0.895254,lifted
MPX_G1_2x3_L1_S2_G32_K2_UP5,G1,2,2,2,3,5,30,2,120,90,240,390,60,30,40,50,70,40,2592000,0.889371,lifted
MPX_G1_3x2_L1_S2_G31_K2_UP5,G1,2,1,3,2,5,30,2,180,60,240,390,60,30,40,70,50,40,2592000,0.889371,lifted
MPX_G1_2x3_L1_S5_G32_K2_UP5,G1,5,2,2,3,5,30,2,60,180,240,390,30,60,40,50,70,40,2592000,0.889371,lifted
MPX_G1_3x2_L1_S5_G31_K2_UP5,G1,5,1,3,2,5,30,2,90,120,240,390,30,60,40,70,50,40,2592000,0.889371,lifted
MPX_G2_1x2_L1_S1_G32_K1_UP7,G2,1,2,1,2,7,14,1,50,70,215,127,50,35,25,50,70,40,752500,0.889356,lifted
MPX_G2_2x1_L1_S3_G31_K1_UP7,G2,3,1,2,1,7,14,1,70,50,215,127,35,50,25,70,50,40,752500,0.889356,lifted
MPX_G2_2x3_L1_S1_G31_K2_UP7,G2,1,1,2,3,7,42,2,100,105,215,366,50,35,25,70,50,40,2257500,0.86601,lifted
MPX_G2_2x3_L1_S1_G32_K2_UP7,G2,1,2,2,3,7,42,2,100,105,215,366,50,35,25,50,70,40,2257500,0.86601,lifted
MPX_G2_3x2_L1_S1_G31_K2_UP7,G2,1,1,3,2,7,42,2,150,70,215,366,50,35,25,70,50,40,2257500,0.86601,lifted
MPX_G2_3x2_L1_S1_G32_K2_UP7,G2,1,2,3,2,7,42,2,150,70,215,366,50,35,25,50,70,40,2257500,0.86601,lifted
MPX_G2_2x3_L1_S3_G31_K2_UP7,G2,3,1,2,3,7,42,2,70,150,215,366,35,50,25,70,50,40,2257500,0.86601,lifted
MPX_G2_2x3_L1_S3_G32_K2_UP7,G2,3,2,2,3,7,42,2,70,150,215,366,35,50,25,50,70,40,2257500,0.86601,lifted
MPX_G2_3x2_L1_S3_G31_K2_UP7,G2,3,1,3,2,7,42,2,105,100,215,366,35,50,25,70,50,40,2257500,0.86601,lifted
MPX_G2_3x2_L1_S3_G32_K2_UP7,G2,3,2,3,2,7,42,2,105,100,215,366,35,50,25,50,70,40,2257500,0.86601,lifted
MPX_G2_1x3_L1_S2_G32_K1_UP5,G2,2,2,1,3,5,15,1,50,75,215,135,50,25,35,50,70,40,806250,0.865244,lifted
MPX_G2_3x1_L1_S5_G31_K1_UP5,G2,5,1,3,1,5,15,1,75,50,215,135,25,50,35,70,50,40,806250,0.865244,lifted
MPX_G1_2x2_L1_S1_G32_K2_UP5,G1,1,2,2,2,5,20,2,120,80,190,270,60,40,30,50,70,40,1824000,0.859489,lifted
MPX_G1_2x2_L1_S3_G31_K2_UP5,G1,3,1,2,2,5,20,2,80,120,190,270,40,60,30,70,50,40,1824000,0.859489,lifted
MPX_G2_2x2_L1_S4_G31_K1_UP3,G2,4,1,2,2,3,12,1,70,50,190,111,35,25,50,70,50,40,665000,0.859215,lifted
MPX_G2_2x2_L1_S6_G32_K1_UP3,G2,6,2,2,2,3,12,1,50,70,190,111,25,35,50,50,70,40,665000,0.859215,lifted
MPX_G2_1x2_L1_S1_G32_K1_UP6,G2,1,2,1,2,6,12,1,50,70,190,111,50,35,25,50,70,40,665000,0.859215,lifted
MPX_G2_2x1_L1_S3_G31_K1_UP6,G2,3,1,2,1,6,12,1,70,50,190,111,35,50,25,70,50,40,665000,0.859215,lifted
MPX_G1_2x3_L1_S2_G32_K2_UP4,G1,2,2,2,3,4,24,2,120,90,200,318,60,30,40,50,70,40,2160000,0.841796,lifted
MPX_G1_3x2_L1_S2_G31_K2_UP4,G1,2,1,3,2,4,24,2,180,60,200,318,60,30,40,70,50,40,2160000,0.841796,lifted
MPX_G1_2x3_L1_S5_G32_K2_UP4,G1,5,2,2,3,4,24,2,60,180,200,318,30,60,40,50,70,40,2160000,0.841796,lifted
MPX_G1_3x2_L1_S5_G31_K2_UP4,G1,5,1,3,2,4,24,2,90,120,200,318,30,60,40,70,50,40,2160000,0.841796,lifted
MPX_G2_2x3_L1_S1_G31_K2_UP6,G2,1,1,2,3,6,36,2,100,105,190,318,50,35,25,70,50,40,1995000,0.836317,lifted
MPX_G2_2x3_L1_S1_G32_K2_UP6,G2,1,2,2,3,6,36,2,100,105,190,318,50,35,25,50,70,40,1995000,0.836317,lifted
MPX_G2_3x2_L1_S1_G31_K2_UP6,G2,1,1,3,2,6,36,2,150,70,190,318,50,35,25,70,50,40,1995000,0.836317,lifted
MPX_G2_3x2_L1_S1_G32_K2_UP6,G2,1,2,3,2,6,36,2,150,70,190,318,50,35,25,50,70,40,1995000,0.836317,lifted
MPX_G2_2x3_L1_S3_G31_K2_UP6,G2,3,1,2,3,6,36,2,70,150,190,318,35,50,25,70,50,40,1995000,0.836317,lifted
MPX_G2_2x3_L1_S3_G32_K2_UP6,G2,3,2,2,3,6,36,2,70,150,190,318,35,50,25,50,70,40,1995000,0.836317,lifted
MPX_G2_3x2_L1_S3_G31_K2_UP6,G2,3,1,3,2,6,36,2,105,100,190,318,35,50,25,70,50,40,1995000,0.836317,lifted
MPX_G2_3x2_L1_S3_G32_K2_UP6,G2,3,2,3,2,6,36,2,105,100,190,318,35,50,25,50,70,40,1995000,0.836317,lifted
MPX_G1_2x3_L1_S1_G31_K2_UP6,G1,1,1,2,3,6,36,2,120,120,220,462,60,40,30,70,50,40,3168000,0.805738,lifted
MPX_G1_2x3_L1_S1_G32_K2_UP6,G1,1,2,2,3,6,36,2,120,120,220,462,60,40,30,50,70,40,3168000,0.805738,lifted
