vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型1_001,0.549678,0.221667,0.457835,"{'G3': 25, 'G4': 15, 'G5': 0, 'G1': 39, 'G2': 14}","{'G3': 25, 'G1': 39, 'G4': 15, 'G2': 14}",1330.0,10520500,True,g3_ratio=0.31;order=G2-G4-G5-G1;wf=0.45;wr=0.22;wv=0.33;row=0;relax=0
车型1_014,0.754856,0.292833,0.62549,"{'G3': 0, 'G4': 45, 'G5': 0, 'G1': 30, 'G2': 34}","{'G4': 45, 'G1': 30, 'G2': 34}",1757.0,14447500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_015,0.720856,0.274167,0.595783,"{'G3': 0, 'G4': 45, 'G5': 0, 'G1': 24, 'G2': 29}","{'G4': 45, 'G1': 24, 'G2': 29}",1645.0,13796750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_016,0.720856,0.274167,0.595783,"{'G3': 0, 'G4': 45, 'G5': 0, 'G1': 24, 'G2': 29}","{'G4': 45, 'G1': 24, 'G2': 29}",1645.0,13796750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_017,0.720856,0.274167,0.595783,"{'G3': 0, 'G4': 45, 'G5': 0, 'G1': 24, 'G2': 29}","{'G4': 45, 'G1': 24, 'G2': 29}",1645.0,13796750,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_018,0.803696,0.443333,0.702794,"{'G3': 0, 'G4': 10, 'G5': 115, 'G1': 13, 'G2': 23}","{'G4': 10, 'G5': 115, 'G1': 13, 'G2': 23}",2660.0,15382250,True,g3_ratio=0.30;order=G5-G2-G1-G4;wf=0.10;wr=0.43;wv=0.47;row=2;relax=0
车型1_019,0.540116,0.309333,0.475497,"{'G3': 0, 'G4': 0, 'G5': 46, 'G1': 47, 'G2': 58}","{'G5': 46, 'G1': 47, 'G2': 58}",1856.0,10337500,True,g3_ratio=0.95;order=G4-G1-G5-G2;wf=0.16;wr=0.27;wv=0.56;row=0;relax=0
车型1_020,0.453214,0.254667,0.397621,"{'G3': 0, 'G4': 0, 'G5': 16, 'G1': 56, 'G2': 71}","{'G5': 16, 'G1': 56, 'G2': 71}",1528.0,8674250,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_021,0.520353,0.298,0.458094,"{'G3': 0, 'G4': 0, 'G5': 46, 'G1': 46, 'G2': 51}","{'G2': 51, 'G1': 46, 'G5': 46}",1788.0,9959250,True,g3_ratio=0.75;order=G1-G2-G4-G5;wf=0.05;wr=0.31;wv=0.64;row=1;relax=0
车型1_022,0.520353,0.298,0.458094,"{'G3': 0, 'G4': 0, 'G5': 46, 'G1': 46, 'G2': 51}","{'G2': 51, 'G1': 46, 'G5': 46}",1788.0,9959250,True,g3_ratio=0.75;order=G1-G2-G4-G5;wf=0.05;wr=0.31;wv=0.64;row=1;relax=0
车型1_023,0.433451,0.243333,0.380218,"{'G3': 0, 'G4': 0, 'G5': 16, 'G1': 55, 'G2': 64}","{'G5': 16, 'G1': 55, 'G2': 64}",1460.0,8296000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_024,0.518877,0.297333,0.456845,"{'G3': 0, 'G4': 0, 'G5': 46, 'G1': 45, 'G2': 52}","{'G5': 46, 'G1': 45, 'G2': 52}",1784.0,9931000,True,g3_ratio=0.78;order=G4-G1-G2-G5;wf=0.44;wr=0.30;wv=0.26;row=0;relax=0
车型1_025,0.569049,0.334667,0.503422,"{'G3': 0, 'G4': 0, 'G5': 50, 'G1': 5, 'G2': 131}","{'G1': 5, 'G2': 131, 'G5': 50}",2008.0,10891250,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_026,0.56624,0.334,0.501213,"{'G3': 0, 'G4': 0, 'G5': 50, 'G1': 0, 'G2': 138}","{'G2': 138, 'G5': 50}",2004.0,10837500,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
车型1_027,0.579955,0.342,0.513328,"{'G3': 0, 'G4': 0, 'G5': 50, 'G1': 0, 'G2': 144}","{'G2': 144, 'G5': 50}",2052.0,11100000,True,g3_ratio=0.60;order=G4-G5-G1-G2;wf=0.60;wr=0.20;wv=0.20;row=0;relax=0
