PM2.5,PM10,CO,NO2,SO2,O3,风速,压强,降水量,温度,湿度,时间
40,81,0.7,53,15,58,1.7,1019.6,89.8,18,55,2018/11/14 11:08
41,83,0.8,46,16,60,0.8,1019.5,89.8,17,55,2018/11/14 11:11
40,79,0.8,45,15,64,1.2,1019.4,89.8,17,56,2018/11/14 11:12
40,79,0.8,50,15,62,1,1019.4,89.8,18,55,2018/11/14 11:16
39,79,0.7,53,15,59,1.8,1019.4,89.8,18,54,2018/11/14 11:17
40,79,0.7,50,16,63,0.8,1019.3,89.8,18,55,2018/11/14 11:20
40,83,0.7,45,15,62,1.4,1019.3,89.8,18,54,2018/11/14 11:23
40,83,0.8,44,16,65,2.5,1019.2,89.8,18,54,2018/11/14 11:24
42,84,0.7,43,16,68,1.2,1019.2,89.8,18,54,2018/11/14 11:25
41,84,0.8,43,15,67,1.2,1019.1,89.8,18,54,2018/11/14 11:28
40,81,0.8,44,16,68,1.4,1019,89.8,18,54,2018/11/14 11:29
41,84,0.7,45,15,66,1.4,1018.9,89.8,18,53,2018/11/14 11:30
41,87,0.8,44,15,70,0.6,1018.9,89.8,18,54,2018/11/14 11:34
42,87,0.7,42,15,69,2,1018.8,89.8,18,53,2018/11/14 11:38
40,84,0.7,42,15,69,0.4,1018.8,89.8,18,54,2018/11/14 11:39
40,83,0.7,42,15,72,0.8,1018.8,89.8,18,53,2018/11/14 11:43
41,83,0.7,45,15,72,1.1,1018.7,89.8,18,53,2018/11/14 11:44
41,84,0.7,48,14,67,2.1,1018.6,89.8,19,52,2018/11/14 11:49
42,85,0.8,50,16,65,1.3,1018.5,89.8,19,52,2018/11/14 11:54
46,91,0.8,43,16,67,1.4,1018.5,89.8,18,52,2018/11/14 11:59
46,89,0.7,41,16,70,1.5,1018.5,89.8,18,52,2018/11/14 12:00
43,84,0.8,40,15,74,1.2,1018.5,89.8,18,53,2018/11/14 12:04
41,81,0.8,37,15,75,1.6,1018.5,89.8,18,52,2018/11/14 12:07
42,89,0.8,37,15,76,1.8,1018.6,89.8,18,51,2018/11/14 12:08
42,89,0.8,35,15,76,1.5,1018.6,89.8,18,51,2018/11/14 12:09
42,87,0.8,36,15,77,0.9,1018.5,89.8,18,52,2018/11/14 12:12
40,83,0.8,36,15,77,1.8,1018.5,89.8,18,52,2018/11/14 12:13
44,88,0.8,40,15,74,0.7,1018.5,89.8,18,51,2018/11/14 12:16
43,85,0.8,41,15,73,1.2,1018.5,89.8,18,51,2018/11/14 12:17
44,92,0.8,41,15,70,1.9,1018.3,89.8,18,51,2018/11/14 12:22
43,84,0.8,39,16,72,1.7,1018.3,89.8,18,51,2018/11/14 12:23
43,89,0.7,41,14,72,0.6,1018.3,89.8,18,52,2018/11/14 12:26
43,87,0.7,41,15,71,1.2,1018.3,89.8,18,52,2018/11/14 12:27
44,89,0.8,41,15,72,1.3,1018.3,89.8,18,51,2018/11/14 12:31
45,91,0.7,40,14,73,1,1018.4,89.8,18,52,2018/11/14 12:32
44,93,0.8,45,15,71,0.9,1018.2,89.8,18,52,2018/11/14 12:36
51,97,0.7,45,15,71,1,1018.3,89.8,18,53,2018/11/14 12:39
44,89,0.7,45,15,70,1.2,1018.3,89.8,18,53,2018/11/14 12:40
48,93,0.7,52,16,61,1.4,1018.4,89.8,18,53,2018/11/14 12:44
48,93,0.7,53,15,61,1.3,1018.4,89.8,18,53,2018/11/14 12:45
46,91,0.7,54,15,62,1.5,1018.4,89.8,18,52,2018/11/14 12:48
50,96,0.8,52,15,63,0.8,1018.2,89.8,18,53,2018/11/14 12:49
48,93,0.8,54,16,60,1.4,1018.1,89.8,18,52,2018/11/14 12:53
48,94,0.8,54,16,60,0.8,1018.1,89.8,18,52,2018/11/14 12:54
42,85,0.7,46,15,63,1.6,1018,89.8,18,50,2018/11/14 12:58
43,89,0.7,45,16,67,0.9,1017.9,89.8,18,50,2018/11/14 12:59
43,87,0.8,47,15,63,1.2,1017.8,89.8,17,52,2018/11/14 13:03
42,85,0.8,46,15,65,0.9,1017.7,89.8,17,51,2018/11/14 13:04
43,84,0.7,40,15,75,1,1017.6,89.8,18,50,2018/11/14 13:08
42,83,0.7,41,15,75,0.3,1017.5,89.8,18,51,2018/11/14 13:09
42,87,0.8,46,15,70,1,1017.5,89.8,18,50,2018/11/14 13:13
43,88,0.7,47,15,69,0.6,1017.5,89.8,18,50,2018/11/14 13:14
40,80,0.7,42,15,70,0.5,1017.5,89.8,18,49,2018/11/14 13:19
41,83,0.7,47,15,68,0.7,1017.4,89.8,18,49,2018/11/14 13:23
39,78,0.7,48,15,66,1.1,1017.4,89.8,18,48,2018/11/14 13:24
39,79,0.8,42,15,70,0.9,1017.4,89.8,18,47,2018/11/14 13:28
37,75,0.8,43,15,71,0.8,1017.1,89.8,18,47,2018/11/14 13:32
38,75,0.8,43,15,71,0.3,1017.1,89.8,18,47,2018/11/14 13:33
36,68,0.7,37,15,76,1.8,1017,89.8,18,47,2018/11/14 13:37
36,74,0.7,33,14,78,1,1017.1,89.8,18,47,2018/11/14 13:38
39,79,0.7,39,15,79,1.1,1017,89.8,18,49,2018/11/14 13:42
39,81,0.7,44,15,75,1.2,1017,89.8,18,49,2018/11/14 13:43
44,89,0.8,52,15,67,1.4,1016.8,89.8,18,50,2018/11/14 13:47
45,91,0.7,52,15,66,1.3,1016.9,89.8,18,50,2018/11/14 13:48
43,88,0.7,51,15,66,1.3,1016.9,89.8,18,51,2018/11/14 13:52
45,91,0.8,53,15,66,0.4,1016.9,89.8,18,51,2018/11/14 13:53
48,92,0.8,58,16,60,0.6,1017,89.8,18,50,2018/11/14 13:57
47,91,0.7,57,16,60,1.9,1016.9,89.8,18,49,2018/11/14 13:58
45,92,0.7,59,15,63,0.7,1017,89.8,19,49,2018/11/14 14:02
48,96,0.8,63,14,59,3.8,1017,89.8,18,49,2018/11/14 14:06
46,91,0.8,59,14,60,2.1,1017.2,89.8,18,50,2018/11/14 14:07
49,96,0.8,58,15,58,0.8,1017.2,89.8,18,51,2018/11/14 14:11
50,94,0.7,57,15,58,1.8,1017.1,89.8,18,50,2018/11/14 14:12
53,98,0.8,58,16,56,0.5,1017.1,89.8,18,52,2018/11/14 14:16
48,97,0.8,58,15,59,0.8,1017.1,89.8,18,52,2018/11/14 14:20
49,94,0.8,59,16,60,1.2,1017.2,89.8,18,52,2018/11/14 14:21
48,92,0.8,69,15,54,0.5,1017.2,89.8,18,51,2018/11/14 14:23
48,93,0.8,63,15,55,1.2,1017.4,89.8,18,52,2018/11/14 14:26
48,96,0.8,60,15,56,0.7,1017.4,89.8,18,52,2018/11/14 14:27
53,98,0.7,60,15,61,1.2,1017.4,89.8,18,53,2018/11/14 14:30
50,97,0.7,61,16,58,1,1017.3,89.8,17,53,2018/11/14 14:31
52,94,0.7,58,15,60,0.9,1017.3,89.8,17,53,2018/11/14 14:33
55,100,0.7,56,16,63,0.7,1017.3,89.8,17,53,2018/11/14 14:34
55,102,0.8,57,15,65,0.7,1017.1,89.8,17,53,2018/11/14 14:35
49,97,0.7,63,15,56,1.8,1017.1,89.8,17,53,2018/11/14 14:39
50,93,0.7,61,15,57,0.4,1017.2,89.8,17,54,2018/11/14 14:40
53,98,0.8,60,14,59,1,1017.1,89.8,17,53,2018/11/14 14:42
52,97,0.8,60,15,61,1,1017,89.8,17,54,2018/11/14 14:43
52,96,0.7,68,16,56,1.3,1017.1,89.8,17,54,2018/11/14 14:48
49,93,0.7,66,15,56,0.8,1017.1,89.8,17,54,2018/11/14 14:51
52,98,0.8,66,14,54,0.8,1017.1,89.8,17,53,2018/11/14 14:53
52,96,0.7,61,14,58,1.7,1017.3,89.8,17,53,2018/11/14 14:57
51,96,0.8,57,15,64,0.8,1017.4,89.8,17,53,2018/11/14 15:01
54,101,0.7,60,15,67,0.9,1017.4,89.8,17,54,2018/11/14 15:05
47,93,0.7,59,15,60,0.7,1017.5,89.8,17,54,2018/11/14 15:09
49,94,0.7,59,16,61,1.3,1017.4,89.8,17,54,2018/11/14 15:10
46,89,0.7,56,15,65,1.1,1017.5,89.8,17,53,2018/11/14 15:14
46,93,0.7,53,14,66,2.6,1017.2,89.8,17,53,2018/11/14 15:18
48,93,0.7,57,15,64,1.2,1017.3,89.8,17,53,2018/11/14 15:23
48,93,0.7,55,14,63,0.3,1017.1,89.8,17,54,2018/11/14 15:27
48,97,0.7,57,15,66,0.6,1017.1,89.8,17,54,2018/11/14 15:29
44,89,0.7,62,15,65,0.3,1017.2,89.8,17,54,2018/11/14 15:31
48,94,0.7,63,15,61,0.9,1017.2,89.8,17,55,2018/11/14 15:32
51,98,0.7,61,16,60,0.8,1017.3,89.8,17,55,2018/11/14 15:35
48,93,0.7,60,16,62,0.7,1017.3,89.8,17,55,2018/11/14 15:36
48,96,0.7,59,16,64,0.6,1017.4,89.8,17,56,2018/11/14 15:40
51,100,0.7,61,16,60,1.2,1017.4,89.8,17,56,2018/11/14 15:43
52,97,0.7,62,15,59,0.5,1017.4,89.8,17,56,2018/11/14 15:44
52,98,0.7,69,14,60,0.6,1017.4,89.8,17,55,2018/11/14 15:48
51,100,0.7,71,15,56,0.3,1017.3,89.8,17,56,2018/11/14 15:49
52,98,0.7,64,15,54,0.4,1017.4,89.8,17,56,2018/11/14 15:52
50,97,0.7,66,15,56,1.3,1017.5,89.8,17,56,2018/11/14 15:53
52,96,0.8,57,16,63,1,1017.4,89.8,17,56,2018/11/14 15:56
43,88,0.8,55,17,65,0.5,1017.4,89.8,17,55,2018/11/14 15:57
48,94,0.7,54,15,66,2.1,1017.4,89.8,17,56,2018/11/14 16:00
47,93,0.8,53,15,67,0.5,1017.5,89.8,17,55,2018/11/14 16:01
48,93,0.7,56,16,64,1,1017.6,89.8,17,55,2018/11/14 16:04
51,98,0.7,53,16,65,1.1,1017.6,89.8,17,55,2018/11/14 16:05
48,94,0.7,55,16,68,0.6,1017.5,89.8,17,56,2018/11/14 16:08
47,94,0.8,58,15,64,0.9,1017.6,89.8,17,56,2018/11/14 16:09
51,96,0.7,62,15,61,0.5,1017.6,89.8,16,57,2018/11/14 16:12
46,94,0.7,63,15,58,0.5,1017.6,89.8,16,56,2018/11/14 16:13
52,97,0.8,59,15,62,0.9,1017.5,89.8,16,56,2018/11/14 16:17
47,94,0.7,61,15,62,1,1017.5,89.8,16,56,2018/11/14 16:18
51,102,0.7,61,16,59,0.5,1017.4,89.8,16,57,2018/11/14 16:21
48,93,0.7,61,16,60,1,1017.5,89.8,16,57,2018/11/14 16:22
51,97,0.7,62,16,58,1.5,1017.5,89.8,16,57,2018/11/14 16:25
50,98,0.7,60,16,60,0.8,1017.6,89.8,16,57,2018/11/14 16:26
50,98,0.7,59,15,60,0.4,1017.6,89.8,16,57,2018/11/14 16:28
51,101,0.7,65,15,54,0.8,1017.6,89.8,16,57,2018/11/14 16:30
50,98,0.7,66,15,54,0.6,1017.7,89.8,16,58,2018/11/14 16:31
49,96,0.7,79,15,44,0.8,1017.7,89.8,16,58,2018/11/14 16:34
51,97,0.7,80,15,39,0.6,1017.7,89.8,16,58,2018/11/14 16:35
52,100,0.7,75,14,42,0.7,1017.8,89.8,16,59,2018/11/14 16:38
56,102,0.7,76,15,44,0.5,1017.7,89.8,16,59,2018/11/14 16:39
56,102,0.7,78,16,42,0.4,1017.7,89.8,16,59,2018/11/14 16:42
53,104,0.7,81,15,41,0.6,1017.7,89.8,16,59,2018/11/14 16:43
52,98,0.8,84,15,67,0.7,1017.6,89.8,16,59,2018/11/14 16:46
46,91,0.7,82,15,75,1.3,1017.6,89.8,16,58,2018/11/14 16:47
44,96,0.8,74,15,47,0.6,1017.6,89.8,16,58,2018/11/14 16:50
46,91,0.8,77,15,42,0.6,1017.6,89.8,16,59,2018/11/14 16:51
44,92,0.7,79,16,42,0.7,1017.5,89.8,16,58,2018/11/14 16:54
45,93,0.7,78,16,40,0.2,1017.6,89.8,16,59,2018/11/14 16:55
44,91,0.7,88,15,69,0.9,1017.5,89.8,16,58,2018/11/14 16:58
44,88,0.7,85,15,87,0.5,1017.6,89.8,16,59,2018/11/14 16:59
44,88,0.8,84,16,112,0.4,1017.6,89.8,16,59,2018/11/14 17:02
47,92,0.8,85,15,114,0.4,1017.6,89.8,16,59,2018/11/14 17:03
56,105,0.7,80,16,116,0.5,1017.6,89.8,16,60,2018/11/14 17:06
49,97,0.7,58,16,117,0.2,1017.6,89.8,16,60,2018/11/14 17:07
49,101,0.7,32,15,112,1.1,1017.6,89.8,16,60,2018/11/14 17:10
44,88,0.8,84,15,115,0.7,1017.7,89.8,16,61,2018/11/14 17:11
44,91,0.8,98,15,114,0.5,1017.7,89.8,16,61,2018/11/14 17:14
46,91,0.8,97,15,114,0.7,1017.8,89.8,16,60,2018/11/14 17:15
45,89,0.7,75,16,116,0.4,1017.9,89.8,16,61,2018/11/14 17:18
45,91,0.7,54,16,114,0.8,1017.9,89.8,15,60,2018/11/14 17:19
44,89,0.7,85,16,116,0.5,1018,89.8,15,61,2018/11/14 17:22
44,92,0.8,80,16,115,0.6,1018,89.8,15,61,2018/11/14 17:23
44,92,0.7,96,15,111,0.4,1018,89.8,15,62,2018/11/14 17:26
48,96,0.8,69,15,110,0.3,1017.9,89.8,15,62,2018/11/14 17:27
49,97,0.7,40,16,113,0.4,1018,89.8,15,62,2018/11/14 17:30
52,98,0.7,68,15,114,0.4,1018,89.8,15,63,2018/11/14 17:31
54,104,0.7,97,16,114,0.2,1018,89.8,15,63,2018/11/14 17:34
51,101,0.7,38,15,114,0.2,1018,89.8,15,63,2018/11/14 17:35
49,97,0.7,35,16,111,0.7,1018,89.8,15,63,2018/11/14 17:38
53,100,0.7,100,16,112,0.2,1017.9,89.8,15,63,2018/11/14 17:39
49,96,0.7,53,15,108,0.3,1017.9,89.8,15,64,2018/11/14 17:42
48,96,0.7,100,16,109,0.3,1018,89.8,15,64,2018/11/14 17:43
48,96,0.8,94,15,111,0.3,1018,89.8,15,63,2018/11/14 17:46
52,98,0.8,89,15,112,0.6,1018,89.8,15,63,2018/11/14 17:47
47,93,0.8,95,15,108,0.5,1018,89.8,15,64,2018/11/14 17:50
46,92,0.8,95,16,110,0.4,1018.1,89.8,15,64,2018/11/14 17:51
45,92,0.8,93,17,113,0.6,1018.2,89.8,15,64,2018/11/14 17:54
48,96,0.8,93,16,113,0.8,1018.2,89.8,15,64,2018/11/14 17:55
52,100,0.7,92,16,112,0.9,1018.2,89.8,15,63,2018/11/14 17:58
46,91,0.8,93,16,113,0.8,1018.2,89.8,15,63,2018/11/14 17:59
48,96,0.7,91,15,112,0.7,1018.2,89.8,15,63,2018/11/14 18:02
47,94,0.8,92,17,111,0.7,1018,89.8,15,64,2018/11/14 18:03
47,97,0.8,95,15,113,0.6,1018.1,89.8,15,62,2018/11/14 18:06
48,97,0.7,97,16,113,0.5,1018.1,89.8,15,64,2018/11/14 18:09
52,101,0.7,91,16,112,0.6,1018,89.8,15,63,2018/11/14 18:10
55,106,0.7,96,17,110,0.3,1018.1,89.8,15,64,2018/11/14 18:13
48,98,0.8,95,16,111,0.8,1018.1,89.8,15,63,2018/11/14 18:14
52,100,0.8,93,16,110,0.2,1018.2,89.8,15,64,2018/11/14 18:17
53,101,0.8,95,16,107,0.1,1018.2,89.8,15,65,2018/11/14 18:18
50,98,0.7,93,16,105,0.3,1018.3,89.8,15,64,2018/11/14 18:19
48,97,0.7,89,16,109,0.4,1018.2,89.8,15,65,2018/11/14 18:21
54,104,0.8,97,16,108,0.4,1018.2,89.8,15,66,2018/11/14 18:27
49,97,0.7,100,16,106,0.5,1018.2,89.8,15,66,2018/11/14 18:30
52,100,0.7,99,16,107,0.4,1018.2,89.8,15,67,2018/11/14 18:31
52,98,0.7,93,16,108,0.3,1018.1,89.8,15,66,2018/11/14 18:34
52,101,0.7,91,16,108,0.2,1018.2,89.8,15,66,2018/11/14 18:35
52,100,0.8,93,16,106,0.7,1018.2,89.8,15,65,2018/11/14 18:38
52,101,0.7,92,17,109,0.8,1018.2,89.8,15,65,2018/11/14 18:39
57,109,0.7,91,16,107,0.2,1018.2,89.8,15,66,2018/11/14 18:42
48,96,0.8,92,16,106,0.2,1018.2,89.8,15,65,2018/11/14 18:43
50,98,0.7,88,16,110,0.3,1018.1,89.8,15,65,2018/11/14 18:46
48,97,0.7,89,16,109,0.2,1018.1,89.8,15,65,2018/11/14 18:47
55,102,0.8,93,17,108,0.5,1018.1,89.8,15,65,2018/11/14 18:50
50,100,0.8,90,17,108,0.3,1018,89.8,15,66,2018/11/14 18:51
52,100,0.8,92,16,112,0.3,1018.1,89.8,15,66,2018/11/14 18:54
59,109,0.8,100,17,112,0.3,1018.1,89.8,15,66,2018/11/14 18:55
50,97,0.8,95,16,109,0.7,1018.1,89.8,15,66,2018/11/14 18:57
59,104,0.7,31,16,107,0.3,1018.1,89.8,15,66,2018/11/14 19:00
56,104,0.7,43,16,106,0.3,1018.2,89.8,15,66,2018/11/14 19:02
52,104,0.8,97,16,105,0.1,1018.2,89.8,15,66,2018/11/14 19:03
56,105,0.8,72,16,107,0.1,1018.3,89.8,14,67,2018/11/14 19:04
57,105,0.8,78,17,114,0.3,1018.3,89.8,14,67,2018/11/14 19:08
56,104,0.8,48,17,111,0.4,1018.3,89.8,14,67,2018/11/14 19:14
56,105,0.8,43,17,111,0.3,1018.3,89.8,14,68,2018/11/14 19:16
56,104,0.8,42,17,110,0.4,1018.2,89.8,14,68,2018/11/14 19:18
60,106,0.8,91,18,112,0.3,1018.2,89.8,14,68,2018/11/14 19:19
60,109,0.8,44,17,110,0.1,1018.2,89.8,14,68,2018/11/14 19:22
59,106,0.8,91,17,111,0.1,1018.3,89.8,14,68,2018/11/14 19:31
60,109,0.8,92,17,105,0.3,1018.5,89.8,14,69,2018/11/14 19:34
58,105,0.8,83,17,101,0.2,1018.4,89.8,14,69,2018/11/14 19:35
60,109,0.8,94,18,103,0.1,1018.4,89.8,14,70,2018/11/14 19:38
60,109,0.8,69,17,105,0.3,1018.4,89.8,14,70,2018/11/14 19:41
63,111,0.8,83,17,111,0.8,1018.4,89.8,14,70,2018/11/14 19:43
60,115,0.8,52,17,109,0.4,1018.4,89.8,14,69,2018/11/14 19:46
65,114,0.8,86,17,109,0.5,1018.4,89.8,14,69,2018/11/14 19:47
59,106,0.8,39,17,108,0.2,1018.3,89.8,14,69,2018/11/14 19:50
63,111,0.8,79,17,111,0.4,1018.3,89.8,14,69,2018/11/14 19:53
63,110,0.8,79,17,110,0.5,1018.3,89.8,14,69,2018/11/14 19:54
63,110,0.8,79,17,108,0.2,1018.2,89.8,14,70,2018/11/14 19:57
58,106,0.8,88,17,107,0.5,1018.3,89.8,14,70,2018/11/14 19:58
64,113,0.8,37,17,108,0.4,1018.3,89.8,14,70,2018/11/14 19:59
58,106,0.8,81,17,107,0.3,1018.3,89.8,14,70,2018/11/14 20:02
61,110,0.8,70,17,106,0.4,1018.2,89.8,14,70,2018/11/14 20:04
60,111,0.8,53,17,105,0.4,1018.3,89.8,14,70,2018/11/14 20:06
60,110,0.8,66,17,106,0.4,1018.3,89.8,14,70,2018/11/14 20:08
60,107,0.8,66,17,105,0.3,1018.3,89.8,14,70,2018/11/14 20:10
60,109,0.8,32,17,108,0.4,1018.3,89.8,14,70,2018/11/14 20:14
58,107,0.8,79,17,106,0.2,1018.4,89.8,14,69,2018/11/14 20:15
61,109,0.8,84,17,111,0.3,1018.4,89.8,14,69,2018/11/14 20:19
59,109,0.8,36,17,108,0.4,1018.5,89.8,14,69,2018/11/14 20:26
57,106,0.8,84,17,109,0.4,1018.5,89.8,14,69,2018/11/14 20:29
60,110,0.8,79,17,108,0.5,1018.5,89.8,14,69,2018/11/14 20:30
59,109,0.8,48,17,108,0.3,1018.4,89.8,14,70,2018/11/14 20:34
61,109,0.8,63,17,108,0.3,1018.5,89.8,14,69,2018/11/14 20:37
67,115,0.8,66,17,109,0.5,1018.5,89.8,14,69,2018/11/14 20:38
60,109,0.8,85,16,107,0.4,1018.5,89.8,14,70,2018/11/14 20:42
64,114,0.8,83,17,109,0.3,1018.5,89.8,14,70,2018/11/14 20:44
63,111,0.8,46,16,108,0.7,1018.5,89.8,14,70,2018/11/14 20:48
64,111,0.8,38,16,108,0.8,1018.5,89.8,15,70,2018/11/14 20:53
69,119,0.7,31,16,107,1,1018.6,89.8,15,70,2018/11/14 20:54
68,126,0.8,93,17,104,0.6,1018.6,89.8,15,70,2018/11/14 20:58
63,114,0.8,88,16,106,1.3,1018.6,89.8,15,70,2018/11/14 21:02
68,127,0.8,84,16,108,1,1018.6,89.8,15,70,2018/11/14 21:06
72,123,0.8,84,16,103,0.6,1018.7,89.8,15,71,2018/11/14 21:10
73,127,0.8,85,16,102,0.9,1018.7,89.8,15,71,2018/11/14 21:14
70,124,0.8,80,16,101,0.9,1018.9,89.8,15,71,2018/11/14 21:17
72,128,0.8,79,16,101,0.4,1018.8,89.8,15,71,2018/11/14 21:22
70,123,0.7,77,16,103,0.4,1018.8,89.8,15,71,2018/11/14 21:26
68,126,0.7,78,16,104,1,1018.8,89.8,15,71,2018/11/14 21:29
68,122,0.8,78,15,104,0.9,1018.8,89.8,15,71,2018/11/14 21:30
70,119,0.8,77,16,103,0.4,1018.8,89.8,15,71,2018/11/14 21:34
76,136,0.7,77,16,102,0.6,1018.7,89.8,15,71,2018/11/14 21:38
70,122,0.8,76,16,101,0.7,1018.7,89.8,15,71,2018/11/14 21:41
69,123,0.8,78,16,101,0.3,1018.6,89.8,15,71,2018/11/14 21:42
72,133,0.8,78,16,104,0.8,1018.7,89.8,15,71,2018/11/14 21:45
72,133,0.8,76,16,103,0.6,1018.7,89.8,15,71,2018/11/14 21:46
72,127,0.8,75,16,101,0.3,1018.7,89.8,15,71,2018/11/14 21:49
71,120,0.7,73,16,100,0.3,1018.8,89.8,15,71,2018/11/14 21:50
66,118,0.7,72,16,102,0.7,1018.7,89.8,14,71,2018/11/14 21:54
68,122,0.7,72,17,101,0.8,1018.8,89.8,14,71,2018/11/14 21:58
68,128,0.8,72,16,101,1,1018.9,89.8,14,71,2018/11/14 22:01
68,122,0.8,72,16,101,0.6,1018.9,89.8,14,71,2018/11/14 22:02
73,133,0.7,73,16,101,0.5,1018.8,89.8,14,72,2018/11/14 22:06
73,130,0.8,75,16,100,0.9,1018.8,89.8,14,71,2018/11/14 22:09
73,137,0.8,75,16,100,1.2,1018.8,89.8,14,71,2018/11/14 22:10
76,133,0.8,76,16,100,1.2,1018.7,89.8,14,71,2018/11/14 22:14
70,124,0.7,74,16,101,0.9,1018.7,89.8,14,71,2018/11/14 22:15
79,137,0.8,75,16,99,0.4,1018.8,89.8,14,71,2018/11/14 22:18
74,135,0.7,75,16,99,0.8,1018.7,89.8,14,71,2018/11/14 22:19
69,123,0.7,82,16,102,0.2,1018.6,89.8,14,72,2018/11/14 22:22
79,137,0.8,75,15,100,0.7,1018.6,89.8,14,72,2018/11/14 22:24
76,135,0.8,73,16,101,0.4,1018.6,89.8,14,72,2018/11/14 22:26
73,126,0.7,72,16,101,0.9,1018.7,89.8,14,71,2018/11/14 22:30
70,118,0.8,76,15,100,0.9,1018.7,89.8,14,71,2018/11/14 22:32
76,135,0.7,74,16,101,1.3,1018.6,89.8,14,71,2018/11/14 22:34
68,123,0.7,71,16,101,1.3,1018.7,89.8,14,71,2018/11/14 22:35
73,143,0.8,66,16,89,1.3,1018.7,89.8,14,71,2018/11/14 22:38
75,130,0.8,66,16,76,0.8,1018.6,89.8,14,71,2018/11/14 22:39
74,135,0.7,68,16,96,0.7,1018.7,89.8,14,71,2018/11/14 22:42
71,124,0.7,69,15,100,1.1,1018.7,89.8,14,71,2018/11/14 22:43
77,137,0.8,70,16,100,0.4,1018.6,89.8,14,71,2018/11/14 22:46
73,130,0.7,70,15,100,0.7,1018.6,89.8,14,71,2018/11/14 22:49
73,132,0.8,69,16,101,0.6,1018.6,89.8,14,71,2018/11/14 22:50
73,131,0.7,68,15,100,0.2,1018.7,89.8,14,71,2018/11/14 22:51
72,132,0.7,70,15,99,1,1018.7,89.8,14,71,2018/11/14 22:54
73,137,0.7,69,15,99,0.5,1018.7,89.8,14,71,2018/11/14 22:54
76,130,0.7,73,15,99,0.3,1018.7,89.8,14,71,2018/11/14 22:57
73,127,0.8,75,16,98,0.8,1018.7,89.8,14,71,2018/11/14 23:00
73,130,0.8,73,17,99,1,1018.7,89.8,14,71,2018/11/14 23:01
72,132,0.7,74,16,100,1,1018.7,89.8,14,71,2018/11/14 23:03
76,140,0.7,73,15,99,0.5,1018.7,89.8,14,71,2018/11/14 23:05
75,132,0.8,73,15,99,0.4,1018.6,89.8,14,71,2018/11/14 23:06
71,126,0.7,74,16,99,0.5,1018.8,89.8,14,71,2018/11/14 23:09
74,132,0.7,73,16,99,0.7,1018.8,89.8,14,71,2018/11/14 23:11
75,139,0.7,72,16,96,1.2,1018.7,89.8,14,71,2018/11/14 23:13
75,128,0.8,70,17,98,0.7,1018.7,89.8,14,71,2018/11/14 23:15
69,127,0.8,69,16,98,0.4,1018.7,89.8,14,71,2018/11/14 23:17
76,135,0.7,72,16,98,0.6,1018.6,89.8,14,71,2018/11/14 23:18
74,140,0.8,71,16,98,0.8,1018.6,89.8,14,71,2018/11/14 23:21
72,130,0.8,71,14,98,1.9,1018.4,89.8,14,71,2018/11/14 23:24
74,132,0.7,70,15,100,1.6,1018.5,89.8,14,71,2018/11/14 23:25
