vehicle_id,space_utilization,weight_utilization,fullness_score,target_counts,actual_counts,loaded_weight_kg,loaded_volume_cm3,feasible_full_pack,policy_desc
车型1_013,0.561525,0.23,0.468698,"{'G3': 10, 'G4': 24, 'G5': 15, 'G1': 28, 'G2': 3}","{'G3': 10, 'G4': 24, 'G5': 15, 'G1': 28, 'G2': 3}",1380.0,10747250,True,baseline_seed
车型1_014,0.418312,0.2035,0.358165,"{'G3': 13, 'G4': 4, 'G5': 25, 'G1': 35, 'G2': 7}","{'G3': 13, 'G4': 4, 'G5': 25, 'G1': 35, 'G2': 7}",1221.0,8006250,True,baseline_seed
车型1_015,0.341416,0.165,0.29202,"{'G3': 16, 'G4': 0, 'G5': 15, 'G1': 36, 'G2': 6}","{'G3': 16, 'G4': 0, 'G5': 15, 'G1': 36, 'G2': 6}",990.0,6534500,True,baseline_seed
车型1_016,0.305665,0.138333,0.258812,"{'G3': 18, 'G4': 0, 'G5': 0, 'G1': 42, 'G2': 7}","{'G3': 18, 'G4': 0, 'G5': 0, 'G1': 42, 'G2': 7}",830.0,5850250,True,baseline_seed
车型1_017,0.406504,0.205333,0.350176,"{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}","{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}",1232.0,7780250,True,baseline_seed
车型1_018,0.406504,0.205333,0.350176,"{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}","{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}",1232.0,7780250,True,baseline_seed
车型1_019,0.406504,0.205333,0.350176,"{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}","{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}",1232.0,7780250,True,baseline_seed
车型1_020,0.406504,0.205333,0.350176,"{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}","{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}",1232.0,7780250,True,baseline_seed
车型1_021,0.440779,0.230333,0.381854,"{'G3': 12, 'G4': 0, 'G5': 27, 'G1': 39, 'G2': 31}","{'G3': 12, 'G4': 0, 'G5': 27, 'G1': 39, 'G2': 31}",1382.0,8436250,True,baseline_seed
车型1_022,0.406504,0.205333,0.350176,"{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}","{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}",1232.0,7780250,True,baseline_seed
车型1_023,0.440779,0.230333,0.381854,"{'G3': 12, 'G4': 0, 'G5': 27, 'G1': 39, 'G2': 31}","{'G3': 12, 'G4': 0, 'G5': 27, 'G1': 39, 'G2': 31}",1382.0,8436250,True,baseline_seed
车型1_024,0.406504,0.205333,0.350176,"{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}","{'G3': 14, 'G4': 0, 'G5': 15, 'G1': 42, 'G2': 31}",1232.0,7780250,True,baseline_seed
车型1_025,0.384443,0.196667,0.331865,"{'G3': 12, 'G4': 0, 'G5': 24, 'G1': 42, 'G2': 8}","{'G3': 12, 'G4': 0, 'G5': 24, 'G1': 42, 'G2': 8}",1180.0,7358000,True,baseline_seed
车型1_026,0.584188,0.34,0.515815,"{'G3': 0, 'G4': 0, 'G5': 84, 'G1': 36, 'G2': 12}","{'G3': 0, 'G4': 0, 'G5': 84, 'G1': 36, 'G2': 12}",2040.0,11181000,True,baseline_seed
车型1_027,0.639623,0.362667,0.562075,"{'G3': 0, 'G4': 0, 'G5': 48, 'G1': 72, 'G2': 56}","{'G3': 0, 'G4': 0, 'G5': 48, 'G1': 72, 'G2': 56}",2176.0,12242000,True,baseline_seed
车型1_028,0.716284,0.415,0.631925,"{'G3': 0, 'G4': 0, 'G5': 25, 'G1': 24, 'G2': 219}","{'G3': 0, 'G4': 0, 'G5': 25, 'G1': 24, 'G2': 219}",2490.0,13709250,True,baseline_seed
车型1_029,0.87777,0.512,0.775355,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 384}","{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 384}",3072.0,16800000,True,baseline_seed
车型1_030,0.114293,0.066667,0.100958,"{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 50}","{'G3': 0, 'G4': 0, 'G5': 0, 'G1': 0, 'G2': 50}",400.0,2187500,True,baseline_seed
