template_name,support_type,support_orientation_id,g3_orientation_id,pattern_nx,pattern_ny,layers,support_count,g3_count,length,width,height,weight,support_length,support_width,support_height,g3_length,g3_width,g3_height,volume_bbox,score,source_kind
MPX_G1_2x3_L1_S2_G32_K2_UP4,G1,2,2,2,3,4,24,2,120,90,200,318,60,30,40,50,70,40,2160000,0.872411,lifted
MPX_G1_3x2_L1_S2_G31_K2_UP4,G1,2,1,3,2,4,24,2,180,60,200,318,60,30,40,70,50,40,2160000,0.872411,lifted
MPX_G1_2x3_L1_S5_G32_K2_UP4,G1,5,2,2,3,4,24,2,60,180,200,318,30,60,40,50,70,40,2160000,0.872411,lifted
MPX_G1_3x2_L1_S5_G31_K2_UP4,G1,5,1,3,2,4,24,2,90,120,200,318,30,60,40,70,50,40,2160000,0.872411,lifted
MPX_G2_2x3_L1_S1_G31_K2_UP6,G2,1,1,2,3,6,36,2,100,105,190,318,50,35,25,70,50,40,1995000,0.865253,lifted
MPX_G2_2x3_L1_S1_G32_K2_UP6,G2,1,2,2,3,6,36,2,100,105,190,318,50,35,25,50,70,40,1995000,0.865253,lifted
MPX_G2_3x2_L1_S1_G31_K2_UP6,G2,1,1,3,2,6,36,2,150,70,190,318,50,35,25,70,50,40,1995000,0.865253,lifted
MPX_G2_3x2_L1_S1_G32_K2_UP6,G2,1,2,3,2,6,36,2,150,70,190,318,50,35,25,50,70,40,1995000,0.865253,lifted
MPX_G2_2x3_L1_S3_G31_K2_UP6,G2,3,1,2,3,6,36,2,70,150,190,318,35,50,25,70,50,40,1995000,0.865253,lifted
MPX_G2_2x3_L1_S3_G32_K2_UP6,G2,3,2,2,3,6,36,2,70,150,190,318,35,50,25,50,70,40,1995000,0.865253,lifted
MPX_G2_3x2_L1_S3_G31_K2_UP6,G2,3,1,3,2,6,36,2,105,100,190,318,35,50,25,70,50,40,1995000,0.865253,lifted
MPX_G2_3x2_L1_S3_G32_K2_UP6,G2,3,2,3,2,6,36,2,105,100,190,318,35,50,25,50,70,40,1995000,0.865253,lifted
MPX_G2_1x2_L1_S1_G32_K1_UP5,G2,1,2,1,2,5,10,1,50,70,165,95,50,35,25,50,70,40,577500,0.855894,lifted
MPX_G2_2x1_L1_S3_G31_K1_UP5,G2,3,1,2,1,5,10,1,70,50,165,95,35,50,25,70,50,40,577500,0.855894,lifted
MPX_G2_1x3_L1_S2_G32_K1_UP4,G2,2,2,1,3,4,12,1,50,75,180,111,50,25,35,50,70,40,675000,0.852258,lifted
MPX_G2_3x1_L1_S5_G31_K1_UP4,G2,5,1,3,1,4,12,1,75,50,180,111,25,50,35,70,50,40,675000,0.852258,lifted
MPX_G2_2x3_L1_S1_G31_K2_UP5,G2,1,1,2,3,5,30,2,100,105,165,270,50,35,25,70,50,40,1732500,0.831811,lifted
MPX_G2_2x3_L1_S1_G32_K2_UP5,G2,1,2,2,3,5,30,2,100,105,165,270,50,35,25,50,70,40,1732500,0.831811,lifted
MPX_G2_3x2_L1_S1_G31_K2_UP5,G2,1,1,3,2,5,30,2,150,70,165,270,50,35,25,70,50,40,1732500,0.831811,lifted
MPX_G2_3x2_L1_S1_G32_K2_UP5,G2,1,2,3,2,5,30,2,150,70,165,270,50,35,25,50,70,40,1732500,0.831811,lifted
MPX_G2_2x3_L1_S3_G31_K2_UP5,G2,3,1,2,3,5,30,2,70,150,165,270,35,50,25,70,50,40,1732500,0.831811,lifted
MPX_G2_2x3_L1_S3_G32_K2_UP5,G2,3,2,2,3,5,30,2,70,150,165,270,35,50,25,50,70,40,1732500,0.831811,lifted
MPX_G2_3x2_L1_S3_G31_K2_UP5,G2,3,1,3,2,5,30,2,105,100,165,270,35,50,25,70,50,40,1732500,0.831811,lifted
MPX_G2_3x2_L1_S3_G32_K2_UP5,G2,3,2,3,2,5,30,2,105,100,165,270,35,50,25,50,70,40,1732500,0.831811,lifted
MPX_G2_2x2_L1_S2_G31_K1_UP5,G2,2,1,2,2,5,20,1,100,50,215,175,50,25,35,70,50,40,1075000,0.815152,lifted
MPX_G2_2x2_L1_S5_G32_K1_UP5,G2,5,2,2,2,5,20,1,50,100,215,175,25,50,35,50,70,40,1075000,0.815152,lifted
MPX_G2_1x3_L1_S1_G32_K1_UP7,G2,1,2,1,3,7,21,1,50,105,215,183,50,35,25,50,70,40,1128750,0.802965,lifted
MPX_G2_3x1_L1_S3_G31_K1_UP7,G2,3,1,3,1,7,21,1,105,50,215,183,35,50,25,70,50,40,1128750,0.802965,lifted
